round_number,timestamp,user_choice,computer_choice,winner,ai_mode,ai_difficulty,user_score,computer_score,decision_time,current_streak,streak_type,previous_user_move,detection_duration,match_progress
1,2025-06-16 09:41:51,scissors,scissors,tie,random,0.7,0,0,0.3,1,tie,,3,1/5
2,2025-06-16 09:42:00,paper,paper,tie,random,0.7,0,0,0.32,2,tie,scissors,3,2/5
3,2025-06-16 09:42:10,paper,rock,user,random,0.7,1,0,0.3,1,user,paper,3,3/5
4,2025-06-16 09:42:20,scissors,scissors,tie,random,0.7,1,0,0.31,1,tie,paper,3,4/5
5,2025-06-16 09:42:29,scissors,paper,user,random,0.7,2,0,0.31,1,user,scissors,3,5/5
