round_number,timestamp,user_choice,computer_choice,winner,ai_mode,ai_difficulty,user_score,computer_score,decision_time,current_streak,streak_type,previous_user_move,detection_duration,match_progress
1,2025-06-16 10:13:22,rock,paper,computer,random,0.7,0,1,0.32,1,computer,,3,1/5
2,2025-06-16 10:13:32,paper,paper,tie,random,0.7,0,1,0.32,1,tie,rock,3,2/5
3,2025-06-16 10:13:42,rock,paper,computer,random,0.7,0,2,0.3,1,computer,paper,3,3/5
4,2025-06-16 10:13:52,scissors,rock,computer,random,0.7,0,3,0.3,2,computer,rock,3,4/5
5,2025-06-16 10:14:01,paper,scissors,computer,random,0.7,0,4,0.31,3,computer,scissors,3,5/5
